id	date	court	title	keywords	laws
13659	2022-01-14	東京地方裁判所	更正すべき理由がない旨の通知処分取消請求事件	復興特別所得税,所得税,損害賠償,更正の請求,更正処分	
13661	2022-01-20	東京地方裁判所	法人税更正処分等取消請求事件	地方法人税,外国子会社合算税制,実体基準,復興特別所得税,所在地国基準	
13663	2022-01-28	広島高等裁判所	法人税更正処分取消等請求控訴事件	地方消費税,復興特別法人税,更正処分,決定処分,法人税	
13664	2022-01-28	東京地方裁判所	法人税及び重加算税返還請求事件	地方法人税,地方消費税,復興特別法人税,更正処分,決定処分	
13665	2022-02-01	東京地方裁判所	源泉所得税納税告知処分取消等請求事件	延滞税,所得税,決定処分,法人税,源泉所得税	
13669	2022-02-14	東京地方裁判所	所得税更正処分等取消請求事件	復興特別所得税,所得税,換価,更正処分,決定処分	
13670	2022-02-14	東京地方裁判所	所得税更正処分等取消請求事件	復興特別所得税,所得税,換価,更正処分,決定処分	
13671	2022-02-17	東京地方裁判所	税務訴訟資料 第２７２号（順号１３６７１） 東京地方裁判所 令和●●年（○○）第●●号 還付金（過誤	復興特別所得税,所得税,法人税,源泉所得税	
13675	2022-02-25	東京地方裁判所	損害賠償請求事件	国家賠償,所得税,損害賠償,更正処分,決定処分	
13676	2022-02-25	東京地方裁判所	所得税通知処分等取消請求事件	所得税,損害賠償,更正の請求,法人税,無申告加算税	
13677	2022-02-25	東京地方裁判所	更正すべき理由がない旨の通知処分取消請求事件	更正の請求,法人税,相続税,贈与税	
13680	2022-03-02		法人税更正処分等取消請求事件	国外関連者,外国子会社合算税制,実体基準,復興特別所得税,復興特別法人税	
13682	2022-03-10	東京高等裁判所	同附帯控訴事件	利益分割法,国外関連取引,国外関連者,措置法６６条の４,更正処分	
13683	2022-03-10	東京高等裁判所	法人税更正処分等取消請求控訴事件	地方法人税,措置法６６条の６,更正の請求,更正処分,決定処分	
13684	2022-03-10	東京地方裁判所	法人税更正処分等取消請求事件	地方法人税,外国子会社合算税制,復興特別所得税,復興特別法人税,所得税	
13691	2022-03-23	仙台高等裁判所	相続税の更正処分及び過少申告加算税の賦課決定処分取消請求控訴事件	換価,更正処分,決定処分,法人税,相続税	
13696	2022-03-30	東京高等裁判所	法人税及び地方法人税更正処分等取消請求控訴事件	地方法人税,更正処分,決定処分,法人税,賦課決定	
13697	2022-04-08	水戸地方裁判所	更正処分取消等請求事件	地方法人税,地方消費税,延滞税,復興特別法人税,更正処分	
13699	2022-04-12	東京地方裁判所	損害賠償等請求事件	国家賠償,所得税,損害賠償,法人税	
13702	2022-04-14	東京高等裁判所	法人税更正処分等取消請求控訴事件	地方法人税,更正処分,決定処分,法人税,賦課決定	
13704	2022-04-19	最高裁判所	相続税更正処分等取消請求上告受理事件	所得税,換価,損害賠償,更正の請求,更正処分	
13706	2022-04-20	東京高等裁判所	独立当事者参加控訴事件	国家賠償,地方消費税,延滞税,所得税,損害賠償	
13707	2022-04-21	最高裁判所	法人税更正処分等取消請求上告受理事件	所得税,更正処分,決定処分,法人税,賦課決定	
13710	2022-04-28	最高裁判所	法人税更正処分取消請求上告及び上告受理事件	更正処分,法人税	
13725	2022-06-02	東京高等裁判所	法人税および消費税等更正処分取消請求控訴事件	地方消費税,更正処分,法人税,消費税	
13732	2022-07-14	東京地方裁判所	所得税更正処分等取消請求事件	復興特別所得税,所得税,損害賠償,更正の請求,更正処分	
13733	2022-07-15	東京地方裁判所	消費税等更正処分等取消請求事件	地方消費税,更正処分,決定処分,法人税,消費税	
13739	2022-07-27	東京高等裁判所	所得税更正処分等取消請求控訴事件	実体基準,延滞税,復興特別所得税,所在地国基準,所得税	
13741	2022-07-28	東京高等裁判所	法人税更正請求に対する更正すべき理由がない旨の通知処分取消等請求控訴事件	所得税,更正の請求,更正処分,法人税	
13744	2022-08-08	最高裁判所	法人税更正処分等取消請求上告及び上告受理事件	更正処分,法人税	
