id	date	court	title	keywords	laws
13090	2017-11-24	東京地方裁判所	法人税更正処分取消請求事件	更正処分,過少申告加算税	国税通則法23条,法人税法22条,租税特別措置法66条の4
13095	2017-12-06	東京地方裁判所	法人税更正処分取消請求事件	更正処分	法人税法61条
13107	2018-01-15	大阪地方裁判所	通知処分取消等請求事件	不当利得	国税通則法23条,法人税法22条
13109	2018-01-16	東京地方裁判所	更正処分取消請求事件	更正処分	国税通則法23条,法人税法22条
13112	2018-01-19	大阪高等裁判所	法人税更正処分等取消請求控訴事件	更正処分,過少申告加算税	国税通則法65条
13117	2018-01-25	東京地方裁判所	法人税更正処分取消等請求事件	更正処分,過少申告加算税	
13118	2018-01-25	最高裁判所	法人税更正処分取消等請求上告及び上告受理事件	更正処分	
13122	2018-02-07	さいたま地方裁判所	法人税更正処分取消等請求事件	更正処分,重加算税,損金算入	国税通則法68条,法人税法34条
13125	2018-02-23	最高裁判所	法人税額等更正処分等取消請求上告及び上告受理事件	更正処分	
13126	2018-03-06	東京地方裁判所	法人税並びに消費税及び地方消費税更正処分等取消請求事件	更正処分,過少申告加算税	国税通則法65条,法人税法22条,消費税法2条
13132	2018-03-13	東京地方裁判所	法人税更正処分等取消請求事件	更正処分	国税通則法23条
13133	2018-03-14	福岡地方裁判所	所得税決定処分取消等請求事件	更正処分,無申告加算税,必要経費	所得税法33条
13135	2018-03-14	大阪地方裁判所	更正処分等取消請求事件	更正処分,過少申告加算税	国税通則法65条
13136	2018-03-27	東京地方裁判所	相続税更正処分等取消請求事件	更正処分,課税処分,過少申告加算税	国税通則法65条,相続税法22条,租税特別措置法69条の4
13143	2018-04-18	東京高等裁判所	重加算税賦課決定処分取消等請求控訴事件	課税処分,重加算税,過少申告加算税	
13144	2018-04-19	大阪地方裁判所	所得税更正処分等取消請求事件	更正処分,過少申告加算税,必要経費,役員報酬	所得税法157条,所得税法27条,所得税法37条
13145	2018-04-19	大阪地方裁判所	法人税更正処分取消等請求事件	更正処分,重加算税,過少申告加算税,仕入税額控除	国税通則法65条,国税通則法68条,国税通則法70条
